Date,Open,High,Low,Close,Volume,Adj Close
6/22/2010,1113.9,1118.5,1094.18,1095.31,451.43,1095.31
6/23/2010,1095.56,1099.64,1085.31,1092.04,452.61,1092.04
6/24/2010,1090.93,1090.93,1071.59,1073.68,481.48,1073.68
6/25/2010,1075.09,1083.56,1067.89,1076.76,512.88,1076.76
6/28/2010,1077.5,1082.59,1071.44,1074.56,389.64,1074.56
6/29/2010,1071.09,1071.09,1035.18,1041.23,613.67,1041.23
6/30/2010,1040.56,1048.07,1028.32,1030.7,506.7,1030.7
7/1/2010,1031.09,1033.57,1010.9,1027.36,643.57,1027.36
7/2/2010,1027.65,1032.94,1015.92,1022.58,396.85,1022.58
7/6/2010,1028.08,1042.5,1018.34,1028.06,469.12,1028.06
7/7/2010,1028.54,1060.89,1028.54,1060.27,493.12,1060.27
7/8/2010,1062.92,1071.25,1058.23,1070.25,454.84,1070.25
7/9/2010,1070.5,1078.16,1068.09,1077.95,350.65,1077.95
7/12/2010,1077.22,1080.78,1070.44,1078.75,342.69,1078.75
7/13/2010,1080.65,1099.45,1080.65,1095.33,464.04,1095.33
7/14/2010,1095.6,1099.07,1087.68,1095.17,452.1,1095.17
7/15/2010,1094.45,1098.66,1080.53,1096.47,455.24,1096.47
7/16/2010,1093.84,1093.84,1063.31,1064.88,529.73,1064.88
7/19/2010,1066.84,1074.69,1061.1,1071.25,408.95,1071.25
7/20/2010,1064.53,1083.93,1056.88,1083.47,471.32,1083.47
7/21/2010,1086.67,1088.95,1065.25,1069.58,474.71,1069.58
7/22/2010,1072.14,1097.5,1072.14,1093.67,482.69,1093.67
7/23/2010,1092.17,1103.72,1087.88,1102.66,452.45,1102.66
7/26/2010,1102.89,1115.01,1101.3,1115.01,400.96,1115.01
7/27/2010,1117.35,1120.94,1109.78,1113.83,472.56,1113.83
7/28/2010,1112.83,1114.66,1103.1,1106.13,400.23,1106.13
7/29/2010,1108.06,1115.9,1092.81,1101.53,461.24,1101.53
7/30/2010,1098.43,1106.43,1088.01,1101.59,400.64,1101.59
8/2/2010,1107.53,1127.3,1107.53,1125.85,414.41,1125.85
8/3/2010,1125.33,1125.43,1116.76,1120.45,407.18,1120.45
8/4/2010,1121.06,1128.75,1119.45,1127.23,405.78,1127.23
8/5/2010,1125.78,1126.56,1118.81,1125.81,368.55,1125.81
8/6/2010,1122.06,1123.06,1107.17,1121.64,385.78,1121.64
8/9/2010,1122.8,1129.23,1120.91,1127.79,397.93,1127.79
8/10/2010,1122.92,1127.16,1111.57,1121.06,397.93,1121.06
8/11/2010,1116.89,1116.89,1088.55,1089.46,451.18,1089.46
8/12/2010,1081.47,1086.71,1076.68,1083.6,452.1,1083.6
8/13/2010,1082.21,1086.25,1079,1079.25,332.88,1079.25
8/16/2010,1077.48,1082.61,1069.48,1079.38,314.24,1079.38
8/17/2010,1081.16,1100.14,1081.16,1092.54,396.82,1092.54
8/18/2010,1092.07,1099.77,1085.76,1094.16,372.42,1094.16
8/19/2010,1092.43,1092.43,1070.66,1075.63,429.05,1075.63
8/20/2010,1075.63,1075.63,1063.91,1071.68,376.15,1071.68
8/23/2010,1073.35,1081.57,1067.07,1067.35,321.09,1067.35
8/24/2010,1063.19,1063.19,1046.68,1051.86,443.63,1051.86
8/25/2010,1048.97,1059.38,1039.82,1055.32,436.01,1055.32
8/26/2010,1056.28,1061.44,1045.4,1047.21,364.67,1047.21
8/27/2010,1049.27,1065.2,1039.69,1064.58,410.24,1064.58
8/30/2010,1062.9,1064.4,1048.79,1048.92,291.79,1048.92
8/31/2010,1046.88,1055.14,1040.88,1049.32,403.87,1049.32
9/1/2010,1049.71,1081.3,1049.71,1080.29,439.68,1080.29
9/2/2010,1080.66,1090.09,1080.39,1090.09,370.42,1090.09
9/3/2010,1093.6,1105.09,1093.6,1104.51,353.45,1104.51
9/7/2010,1102.59,1102.59,1091.15,1091.83,310.73,1091.83
9/8/2010,1092.35,1103.26,1092.35,1098.86,322.46,1098.86
9/9/2010,1101.15,1110.27,1101.15,1104.18,338.77,1104.18
9/10/2010,1104.56,1110.88,1103.92,1109.55,306.11,1109.55
9/13/2010,1113.38,1123.86,1113.38,1121.9,452.1,1121.9
9/14/2010,1121.16,1127.35,1115.57,1121.09,452.1,1121.09
9/15/2010,1119.43,1126.45,1114.63,1125.06,336.98,1125.06
9/16/2010,1123.89,1125.43,1118.88,1124.66,336.4,1124.66
9/17/2010,1126.39,1131.46,1122.43,1125.58,408.61,1125.58
